1599172158.4257717,+2.00309853624649E+008
1599172172.7603962,+2.00309852018354E+008
1599172187.1120338,+2.00309854591771E+008
1599172201.4120045,+2.00309853784173E+008
1599172215.7256095,+2.00309853193708E+008
1599172230.0459027,+2.00309849638595E+008
1599172244.3527398,+2.00309852060509E+008
1599172258.7250335,+2.00309850721228E+008
1599172273.0505197,+2.00309850314251E+008
1599172287.4174867,+2.00309849286390E+008
1599172303.1699135,+2.00309851787430E+008
1599172317.5008132,+2.00309851469653E+008
1599172331.823549,+2.00309851245380E+008
1599172346.168222,+2.00309847109289E+008
1599172360.5767639,+2.00309844444617E+008
1599172374.9776235,+2.00309849369233E+008
1599172389.3556323,+2.00309851736961E+008
1599172403.6834831,+2.00309851186597E+008
1599172417.9979544,+2.00309847518027E+008
1599172432.3127346,+2.00309847730759E+008
1599172447.9478478,+2.00309842888986E+008
1599172462.3028462,+2.00309847694081E+008
1599172476.6149833,+2.00309848675777E+008
1599172490.9901385,+2.00309848458937E+008
1599172505.286683,+2.00309852117433E+008
1599172519.6938744,+2.00309851366661E+008
1599172534.0691345,+2.00309845909385E+008
1599172548.3847961,+2.00309851654118E+008
1599172562.7419972,+2.00309849217827E+008
1599172577.0674386,+2.00309848626971E+008
1599172592.692099,+2.00309849808585E+008
1599172607.0756927,+2.00309852127507E+008
1599172621.3858657,+2.00309851281471E+008
1599172635.7356668,+2.00309847566736E+008
1599172650.0579085,+2.00309850120005E+008
1599172664.4469025,+2.00309853640787E+008
1599172678.7708821,+2.00309853756200E+008
1599172693.1479518,+2.00309856129308E+008
1599172707.4395993,+2.00309854354783E+008
1599172721.7508776,+2.00309855305865E+008
1599172737.3470116,+2.00309856977007E+008
1599172751.6714177,+2.00309857788615E+008
1599172766.0431523,+2.00309859704570E+008
1599172780.3677537,+2.00309862430176E+008
1599172794.7378988,+2.00309860546596E+008
1599172809.0360603,+2.00309863399352E+008
1599172823.4214904,+2.00309859391194E+008
1599172837.71573,+2.00309862247960E+008
1599172852.1078238,+2.00309862476635E+008
1599172866.4412394,+2.00309865062474E+008
1599172882.1813772,+2.00309865040174E+008
1599172896.5211751,+2.00309866824871E+008
1599172910.8420231,+2.00309869155530E+008
1599172925.2345285,+2.00309867512654E+008
1599172939.5619788,+2.00309865845522E+008
1599172953.9408703,+2.00309865333499E+008
1599172968.266812,+2.00309870719573E+008
1599172982.5864632,+2.00309869979364E+008
1599172996.9067972,+2.00309873952801E+008
1599173011.20181,+2.00309878805139E+008
1599173026.732927,+2.00309879150791E+008
1599173041.0333745,+2.00309880753273E+008
1599173055.342581,+2.00309883098506E+008
1599173069.6422336,+2.00309884808282E+008
1599173083.9221659,+2.00309885791347E+008
1599173098.26661,+2.00309882529852E+008
1599173112.6197174,+2.00309886904399E+008
1599173126.920997,+2.00309890155722E+008
1599173141.2573571,+2.00309886534001E+008
1599173155.5850723,+2.00309889376782E+008
1599173171.1536648,+2.00309885769145E+008
1599173185.5446696,+2.00309891695607E+008
1599173199.8653774,+2.00309888832678E+008
1599173214.3144562,+2.00309888037501E+008
1599173228.6497457,+2.00309888715211E+008
1599173242.951822,+2.00309890412565E+008
1599173257.2617588,+2.00309891040197E+008
1599173271.6047099,+2.00309893049266E+008
1599173285.906308,+2.00309890556343E+008
1599173300.2472773,+2.00309895117018E+008
1599173315.9402988,+2.00309889656218E+008
1599173330.252448,+2.00309885726696E+008
1599173344.6430342,+2.00309886635036E+008
1599173358.9411674,+2.00309887669255E+008
1599173373.2292387,+2.00309890552333E+008
1599173387.5300407,+2.00309886588969E+008
1599173401.849127,+2.00309886706045E+008
1599173416.1595159,+2.00309886621245E+008
1599173430.4505517,+2.00309889874623E+008
1599173444.748969,+2.00309890576589E+008
1599173460.4302423,+2.00309889819753E+008
1599173474.8065221,+2.00309883994620E+008
1599173489.1165955,+2.00309882475275E+008
1599173503.5062022,+2.00309882305285E+008
1599173517.8368943,+2.00309886232655E+008
1599173532.2247021,+2.00309886467394E+008
1599173546.5431612,+2.00309885635833E+008
1599173560.8850803,+2.00309886200085E+008
1599173575.1810744,+2.00309884931911E+008
1599173589.5172462,+2.00309888233801E+008
1599173605.245141,+2.00309890773280E+008
1599173619.5642908,+2.00309885311992E+008
1599173634.0123634,+2.00309881975380E+008
1599173648.3304658,+2.00309883654934E+008
1599173662.6433601,+2.00309890356033E+008
1599173677.0100951,+2.00309889055190E+008
1599173691.3439405,+2.00309895930387E+008
1599173705.6473272,+2.00309893415653E+008
1599173719.9966726,+2.00309891901981E+008
1599173734.3191962,+2.00309889694559E+008
1599173750.2125022,+2.00309889476057E+008
1599173764.4947946,+2.00309893868796E+008
1599173778.8343647,+2.00309893858624E+008
1599173793.124272,+2.00309893373205E+008
1599173807.444593,+2.00309897899257E+008
1599173821.759563,+2.00309896665021E+008
1599173836.0852513,+2.00309894163980E+008
1599173850.4052696,+2.00309898036872E+008
1599173864.7291381,+2.00309898435536E+008
1599173879.0544538,+2.00309895282998E+008
1599173894.6610591,+2.00309894829953E+008
1599173909.0513117,+2.00309894449481E+008
1599173923.364374,+2.00309892828807E+008
1599173937.770349,+2.00309891774440E+008
1599173952.0924857,+2.00309890870110E+008
1599173966.4681616,+2.00309890336275E+008
1599173980.7737064,+2.00309888199177E+008
1599173995.0878277,+2.00309888945841E+008
1599174009.3899715,+2.00309888294442E+008
1599174023.7148416,+2.00309887070378E+008
1599174039.4756472,+2.00309884795860E+008
1599174053.833601,+2.00309883238175E+008
1599174068.2492375,+2.00309880694784E+008
1599174082.5697625,+2.00309878869790E+008
